id_lieu,annee_tournage,type_tournage,nom_tournage,nom_realisateur,nom_producteur,adresse_lieu,ardt_lieu,date_debut,date_fin,coord_x,coord_y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2024-635,2024,Série TV,LE COMTE DE MONTE-CRISTO 2E EQUIPE,Bille August/Marc Jenny,DEMD PRODUCTIONS,"pont royal, 75001 paris",75001,2024-01-23,2024-01-23,650882.28,6862497.67,Feature,"[2.330521861292342, 48.860639375787514]",Point,2.330521861292342,48.86063937578752
2024-718,2024,Série Web,Nos Vies En L'Air,Jonathan COHEN - Anthony JORGE,WANDA PRODUCTIONS,"boulevard vincent auriol, 75013 paris",75013,2024-02-24,2024-02-24,653368.782,6859512.278,Feature,"[2.364738921517815, 48.83397655917996]",Point,2.364738921517815,48.83397655917996
2019-256,2019,Long métrage,LE SEL DES LARMES,Philippe Garrel,RECTANGLE PRODUCTIONS,"9 rue pierre bourdan, 75012 paris",75012,2019-03-09,2019-03-09,2.39150914,48.84675077,Feature,"[2.3915091444311094, 48.84675076435552]",Point,2.3915091444311094,48.84675076435552
2019-461,2019,Long métrage,J'accuse,Roman Polanski,legendaire,"19b rue notre-dame des victoires, 75002 paris",75002,2019-04-25,2019-04-25,2.34178421,48.86906674,Feature,"[2.341784214127599, 48.86906673459114]",Point,2.341784214127599,48.86906673459114
2018-864,2018,Série TV,ENGRENAGES SAISON 7,Jean-Philippe Amar,SON ET LUMIERE,"76 rue de monceau, 75008 paris",75008,2018-07-30,2018-08-01,2.31560971,48.87997984,Feature,"[2.3156097069992385, 48.87997983753391]",Point,2.3156097069992385,48.87997983753391
2019-1204,2019,Série TV,Emily in Paris,Darren Star,NW2020,"place de la concorde, 75008 paris",75008,2019-09-20,2019-09-21,2.32053484,48.8666995,Feature,"[2.320534842202644, 48.8666994946828]",Point,2.320534842202644,48.8666994946828
2018-1490,2018,Long métrage,PLACE DES VICTOIRES,Yoann Guillouzouic,WHITE PANAMA FILMS,"rue du baigneur, 75018 paris",75018,2018-12-03,2018-12-03,2.34406867,48.89018762,Feature,"[2.34406866509806, 48.890187623935255]",Point,2.34406866509806,48.890187623935255
2021-1423,2021,Long métrage,JOHN WICK 4,Chad STAHELSKI,LM 2021,"place blanche, 75009 paris",75009,2021-10-07,2021-10-08,2.33240846,48.88362939,Feature,"[2.332408458012074, 48.88362939382393]",Point,2.332408458012074,48.88362939382393
2021-1739,2021,Série TV,Marion,Jacques KLUGER,NOLITA TV,"pont de bir-hakeim, 75016 paris",75016,2021-12-03,2021-12-03,2.28670438,48.85669106,Feature,"[2.2867043795929956, 48.856691058371446]",Point,2.286704379592996,48.856691058371446
2016-865,2016,Série TV,"ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83",ERIC LE ROUX,EGO PRODUCTION,184/192  RUE  DE RIVOLI,75001,2016-04-04,2016-04-04,2.332362,48.863714,Feature,"[2.3323619999709266, 48.86371399986748]",Point,2.332361999970926,48.86371399986748
2021-1522,2021,Long métrage,LE PARFUM VERT,Nicolas Pariser,BIZIBI,"passage des postes, 75005 paris",75005,2021-11-04,2021-11-04,2.34942579,48.84109212,Feature,"[2.349425785949781, 48.84109211424498]",Point,2.349425785949781,48.84109211424498
2016-2188,2016,Long métrage,UNE SAISON EN FRANCE,MAHAMAT-SALEH HAROUN,PILI FILMS,RUE  DES HAIES,75020,2016-11-21,2016-11-21,2.402333,48.853846,Feature,"[2.402333000596587, 48.85384599971065]",Point,2.402333000596587,48.85384599971065
2016-1089,2016,Série TV,CHRONIQUES PARISIENNES,ZABOU BREITMAN,LES FILMS DU KIOSQUE,PLACE  SAINT GERVAIS,75004,2016-10-01,2016-10-01,2.354117,48.855529,Feature,"[2.354117000588589, 48.85552900012369]",Point,2.354117000588589,48.85552900012369
2020-803,2020,Long métrage,8 Rue de l'Humanité,Dany BOON,PATHÉ PROD EXÉ,"quai d'orléans, 75004 paris",75004,2020-11-09,2020-11-11,2.35413521,48.85164079,Feature,"[2.3541352076585884, 48.85164079331912]",Point,2.3541352076585884,48.85164079331912
2020-818,2020,Long métrage,Army of the dead meanwhile in Germany,Matthias Schweighoffer,Firstep,"pont alexandre iii, 75007 paris",75007,2020-11-05,2020-11-05,2.31348065,48.8631595,Feature,"[2.3134806513388844, 48.86315949822959]",Point,2.3134806513388844,48.86315949822959
2021-1134,2021,Long métrage,Youssef Salem a du succès,Baya Kasmi,DOMINO FILMS / YOUSSEF SALEM A DU SUCCES,"place gaillon, 75002 paris",75002,2021-08-05,2021-08-06,2.33437931,48.86895833,Feature,"[2.334379310723611, 48.868958333312904]",Point,2.334379310723611,48.8689583333129
2021-1139,2021,Série TV,L'amour (presque) Parfait,Pascale Pouzadoux,PM SA,"16 avenue franklin d. roosevelt, 75008 paris",75008,2021-07-28,2021-07-30,2.31023012,48.8712935,Feature,"[2.310230116659458, 48.871293501485695]",Point,2.310230116659458,48.871293501485695
2016-2486,2016,Long métrage,LOUE MOI,VIRGINE SCSWARTZ,MY FAMILY,SQUARE  D'ANVERS,75009,2016-11-22,2016-11-22,2.344383,48.882164,Feature,"[2.3443829997444334, 48.88216400022648]",Point,2.344382999744433,48.88216400022648
2021-1264,2021,Série TV,GAPCI 2,,ITALIAN INTERNATIONAL FILM SRL,"14 rue ravignan, 75018 paris",75018,2021-08-26,2021-08-26,2.33808262,48.88587428,Feature,"[2.338082615952966, 48.8858742832242]",Point,2.338082615952966,48.8858742832242
2020-862,2020,Téléfilm,Retroscopie,,R et G PRODUCTIONS,"5b rue pajou, 75016 paris",75016,2020-11-10,2020-11-10,2.27292696,48.85672333,Feature,"[2.2729269598049524, 48.856723328550494]",Point,2.2729269598049524,48.856723328550494
2018-266,2018,Long métrage,LE MYSTERE HENRI PICK,Remi Bezançon,MANDARIN PRODUCTION,"rue du laos, 75015 paris",75015,2018-03-23,2018-03-24,2.30106913,48.84986798,Feature,"[2.3010691284685887, 48.84986798360821]",Point,2.3010691284685887,48.84986798360821
2018-1017,2018,Téléfilm,QUAND SORT LA RECLUSE,Josée DAYAN,PASSIONFILMS,"13 rue de charonne, 75011 paris",75011,2018-08-29,2018-08-30,2.37435287,48.85278319,Feature,"[2.374352868252115, 48.852783185041844]",Point,2.374352868252115,48.85278318504184
2018-424,2018,Long métrage,PLAY,Anthony Marciano,Chapter 2,"avenue de la grotte, 75019 paris",75019,2018-03-28,2018-03-28,2.38357142,48.88218739,Feature,"[2.383571423637889, 48.88218738741415]",Point,2.383571423637889,48.88218738741415
2017-804,2017,Long métrage,SUN,Jonathan Desoindre,Rouge International,"75 boulevard de magenta, 75010 paris",75010,2017-10-27,2017-10-27,2.35653758,48.87547199,Feature,"[2.3565375816610015, 48.87547199300791]",Point,2.356537581661001,48.87547199300791
2017-162,2017,Téléfilm,JE NE SUIS PAS UN HOMME FACILE,ELEONORE POURRIAT,FILM INVADERS,"square du vert galant, 75001 paris",75001,2017-03-22,2017-03-23,2.34096815,48.8571358,Feature,"[2.340968145960331, 48.85713579722351]",Point,2.340968145960331,48.85713579722351
2017-897,2017,Série TV,84.2,PLAIGNAUD DENIS,,"rue de reuilly, 75012 paris",75012,2017-04-29,2017-04-29,2.38886428,48.84537008,Feature,"[2.3888642758047522, 48.84537008155715]",Point,2.388864275804752,48.84537008155715
2019-1747,2019,Série TV,PROFILAGE EPISODES 101/102,ALEXANDRE LAURENT,BEAUBOURG AUDIOVISUEL,"port de la tournelle, 75005 paris",75005,2019-12-13,2019-12-15,2.3562644,48.84957632,Feature,"[2.35626439946888, 48.84957632102203]",Point,2.35626439946888,48.84957632102203
2017-1303,2017,Long métrage,Eiffel i'm in love 2,Rizal Mantovani,IFILMFRANCE,"place de varsovie, 75116 paris",75116,2017-06-06,2017-06-06,2.29099199,48.86033042,Feature,"[2.2909919858590033, 48.86033042033892]",Point,2.2909919858590038,48.86033042033892
2017-1320,2017,Long métrage,GEMINI,Christopher Mac Quarrie,FIRSTEP,"boulevard richard lenoir, 75011 paris",75011,2017-05-15,2017-05-15,2.37246624,48.86256145,Feature,"[2.372466237910095, 48.862561453907844]",Point,2.372466237910095,48.86256145390784
2016-1250,2016,Long métrage,LEILA,NAIDRA AYADI,NOLITA CINEMA,4  RUE  PIERRE 1ER DE SERBIE,75016,2016-11-14,2016-11-14,2.29513,48.865313,Feature,"[2.2951299994166003, 48.865312999999176]",Point,2.2951299994166003,48.865312999999176
2016-388,2016,Long métrage,VIVE LA CRISE,JEAN FRANCOIS DAVY,LES FILMS MONTAIGNE,27/49  AVENUE  DE L'OPERA,75002,2016-05-30,2016-05-30,2.332426,48.869818,Feature,"[2.3324259995304066, 48.869817999549326]",Point,2.332425999530406,48.869817999549326
2016-397,2016,Long métrage,LES FANTOMES D'ISMAEL,ARNAUD DESPLESCHIN,WHY NOT PRODUCTIONS,PASSAGE  RUE MOUFFETARD,75005,2016-10-05,2016-10-05,2.349646,48.842184,Feature,"[2.3496459993735543, 48.84218400035171]",Point,2.3496459993735543,48.84218400035171
