type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée adulte,679,Les cahiers d'Esther. 4. Histoires de mes 13 ans,"Sattouf,  Riad",60,2171,66
Livre sonore jeunesse,569,Le pyjama de Coco,"Du Bouchet,  Paule",40,1605,61
Bande dessinée jeunesse,663,"Trop, c'est trop !","Cohen,  Jacqueline",29,4504,47
Bande dessinée jeunesse,724,L'école des vannes,"Coppée,  Thierry",39,3078,53
Bande dessinée jeunesse,696,Boing ! Boing ! Bunk !,Midam,43,4349,57
Bande dessinée jeunesse,1383,Parents à vendre,Mr Tan,51,4103,107
Bande dessinée jeunesse,918,Lili veut faire une boum,"Saint-Mars,  Dominique de",41,4520,75
Bande dessinée jeunesse,814,Game over. 6. Sound of silence,,41,3559,53
Bande dessinée jeunesse,602,Note to be,Erroc,36,2262,49
Bande dessinée jeunesse,989,Max et Lili ont peur des images violentes,"Saint-Mars,  Dominique de",48,5408,97
Bande dessinée jeunesse,688,La Rose écarlate : missions. 3. La dame en rouge,"Lyfoung,  Patricia",46,2436,55
Bande dessinée jeunesse,719,Men in blork,Midam,43,2656,52
Bande dessinée ado,699,Duel de belles,Delaf,38,2673,54
Bande dessinée jeunesse,638,My hero academia. 13,"Horikoshi,  K?hei",47,2220,53
Bande dessinée jeunesse,842,Max et Lili sont malades,"Saint-Mars,  Dominique de",37,3292,65
Bande dessinée jeunesse,601,Enfermés dedans,"Abouet,  Marguerite",49,1228,55
Bande dessinée jeunesse,590,Appare Ranman!. 1,Apperacing,35,374,47
Bande dessinée jeunesse,927,Décollage immédiat !,"Didier,  Anne",50,1607,72
Bande dessinée jeunesse,603,Max veut se faire des amis,"Saint-Mars,  Dominique de",35,3568,60
Bande dessinée jeunesse,599,Naruto. 41,"Kishimoto,  Masashi",41,3299,51
Bande dessinée jeunesse,1211,Max et Lili aiment trop rire,"Saint-Mars,  Dominique de",49,2384,101
