type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée jeunesse,555,La terre promise,Jul,43,2449,51
Bande dessinée jeunesse,591,Naruto. 62,"Kishimoto,  Masashi",44,2502,55
Bande dessinée jeunesse,707,La rose écarlate. 11. Peux-tu comprendre cela ?,"Lyfoung,  Patricia",51,2779,65
Bande dessinée jeunesse,643,The promised neverland. 5,"Shirai,  Kaiu",52,2098,54
Bande dessinée jeunesse,577,Frère power !,"Dutto,  Olivier",35,1364,43
Bande dessinée jeunesse,748,Astérix chez les Bretons,"Goscinny,  René",41,3014,57
Livre adulte,549,Porca miseria,"Benacquista,  Tonino",45,591,46
Bande dessinée jeunesse,823,Bande de sauvages !,"Cohen,  Jacqueline",33,5761,60
Livre jeunesse,693,Trop c'est trop,"Kinney,  Jeff",52,2818,67
Bande dessinée jeunesse,669,Emile et Margot. 7. Monstres en folie,"Didier,  Anne",36,2320,43
Bande dessinée jeunesse,603,My hero academia. 7. Katsuki Bakugo : les origines,"Horikoshi,  Kohei",47,2674,55
Bande dessinée jeunesse,1057,Aïe aïe eye,Midam,49,4186,66
Livre jeunesse,611,Classe touriste,Pica,30,3270,41
Livre adulte,725,Le serpent majuscule : roman,"Lemaitre,  Pierre",52,1276,57
Bande dessinée jeunesse,653,Kid Paddle. 12. Panik room,Midam,46,3847,58
Bande dessinée jeunesse,640,Profession tricheur !,"Godi,  Bernard",38,2073,46
Bande dessinée jeunesse,1123,Supergéant !,"Didier,  Anne",52,2450,74
Bande dessinée jeunesse,997,La copine de Lili n'a pas de papa,"Saint-Mars,  Dominique de",50,5939,100
Bande dessinée jeunesse,866,Max fait pipi au lit,"Saint-Mars,  Dominique de",39,3280,69
Bande dessinée jeunesse,554,La famille avant tout,"Morel,  Marylise",39,2285,44
Livre jeunesse,619,Ca déménage !,"Kinney,  Jeff",50,1471,56
Bande dessinée jeunesse,619,The promised Neverland. 14,"Shirai,  Kaiu",52,1444,54
Bande dessinée ado,618,Taille adulte,"Darasse,  Christian",50,2441,56
Bande dessinée jeunesse,870,"Amour, gloire et corvées",Nob,48,2573,63
Bande dessinée jeunesse,1042,Les Légendaires. 15. Amour mortel,"Sobral,  Patrick",52,3980,78
Bande dessinée ado,644,Un couple d'enfer,Delaf,41,2467,53
Bande dessinée jeunesse,551,La cousine Manga,"Guibert,  Emmanuel",33,2292,37
Bande dessinée jeunesse,1561,Tout ça finira mal,Tan,52,4839,108
Bande dessinée jeunesse,783,Elle m'a toujours protégé,"Lyfoung,  Patricia",49,2364,60
Bande dessinée jeunesse,623,Les blagues de Toto. 12. Bête de concours,"Coppée,  Thierry",39,2625,50
Bande dessinée jeunesse,1226,Astérix chez les Pictes,"Ferri,  Jean-Yves",57,5766,95
Bande dessinée jeunesse,585,Punis pour le meilleur et pour le pire,"Godi,  Bernard",29,2485,36
Bande dessinée jeunesse,572,Naruto. 31,"Kishimoto,  Masashi",42,3405,52
Bande dessinée jeunesse,936,Lili invite une copine en vacances,"Saint-Mars,  Dominique de",45,4966,82
Bande dessinée jeunesse,695,My hero academia. 5. Shoto Todoroki : les origines,"Horikoshi,  Kohei",50,3104,61
Bande dessinée jeunesse,622,The promised Neverland. 10,"Shirai,  Kaiu",51,1693,56
Bande dessinée jeunesse,578,En scène !. 1,Cuvie,44,2496,54
Bande dessinée jeunesse,564,Les révoltés de Néosalem,"Vehlmann,  Fabien",54,1485,63
Bande dessinée jeunesse,586,The promised Neverland. 12,"Shirai,  Kaiu",52,1425,58
Bande dessinée jeunesse,588,Un bazar monstre. 3,"Didier,  Anne",36,2297,45
Bande dessinée jeunesse,709,Le fils d'Astérix,"Uderzo,  Albert",45,3392,59
Bande dessinée jeunesse,653,La grande Schtroumpfette,"Jost,  Alain",34,3083,45
Bande dessinée jeunesse,584,Sous un ciel d'azur,"Horikoshi,  K?hei",49,1281,54
Bande dessinée jeunesse,690,Les Schtroumpfs et le Cracoucass,Peyo,40,3706,50
Bande dessinée jeunesse,709,Foutu pour foutu,"Dequier,  Bruno",46,1844,55
Bande dessinée jeunesse,767,Max et Lili veulent tout tout de suite !,"Saint-Mars,  Dominique de",42,3925,69
Bande dessinée jeunesse,587,L'as des pitres,"Coppée,  Thierry",35,3430,47
Bande dessinée jeunesse,560,Les copains d'abord,"Morel,  Marylise",36,1283,41
Bande dessinée jeunesse,1515,Mortelle Adèle.  T.10 .  Choubidoulove,,54,5519,123
Bande dessinée jeunesse,626,Duel de bulles,"Fraipont,  Céline",45,1642,53
Bande dessinée jeunesse,574,Naruto. 39,"Kishimoto,  Masashi",44,3580,52
Bande dessinée jeunesse,763,"Attention, école !",Zidrou,45,2003,54
Bande dessinée ado,750,Les nombrils. 3. Les liens de l'amitié,Delaf,40,2635,59
Bande dessinée jeunesse,654,"L'amour, c'est pô propre...",Zep,40,3850,63
Bande dessinée jeunesse,737,Naruto. 5,"Kishimoto,  Masashi",46,3852,67
Livre jeunesse,683,Max et Lili aident les enfants du monde,"Saint-Mars,  Dominique de",39,3496,66
Bande dessinée jeunesse,554,"Au zoo, les zozos !","Cohen,  Jacqueline",26,1431,41
Bande dessinée jeunesse,909,La croisée sanglante,"Sobral,  Patrick",45,1492,55
Bande dessinée jeunesse,585,Le bébé schtroumpf,Peyo,29,3315,39
Bande dessinée jeunesse,1093,Versus inferno,"Sobral,  Patrick",49,4621,84
Bande dessinée jeunesse,758,Drôle de cirque !,"Cohen,  Jacqueline",31,3898,47
Bande dessinée jeunesse,658,Le sens de la vie,Zep,43,3269,66
Bande dessinée jeunesse,643,"Tremblez, carcasses !","Cohen,  Jacqueline",28,4275,50
Bande dessinée jeunesse,584,Les deux géants,Dugomier,45,1890,53
Bande dessinée jeunesse,1058,Aube et crépuscule,"Sobral,  Patrick",51,4697,75
Bande dessinée jeunesse,850,My hero academia. 1. Izuku Midoriya : les origines,"Horikoshi,  Kohei",50,3440,74
Bande dessinée jeunesse,677,Max décide de faire des efforts,"Saint-Mars,  Dominique de",32,3644,60
Bande dessinée jeunesse,665,Waterminator,Midam,40,4192,56
Bande dessinée jeunesse,838,Astérix gladiateur,"Goscinny,  René",49,4552,72
Bande dessinée jeunesse,763,Max est timide,"Saint-Mars,  Dominique de",45,5566,81
Bande dessinée jeunesse,763,Lili a la passion du cheval,"Saint-Mars,  Dominique de",39,3874,65
Bande dessinée jeunesse,699,Saint-Pétersbourg,"Sobral,  Patrick",49,1832,58
Bande dessinée jeunesse,626,Stonehenge,"Sobral,  Patrick",48,1315,55
Bande dessinée jeunesse,621,"Au zoo, les zozos !","Cohen,  Jacqueline",32,3844,48
Bande dessinée jeunesse,568,Ma très chère soeur !,"Dutto,  Olivier",33,1198,41
Bande dessinée jeunesse,1169,Mortelle Adèle et la galaxie des bizarres,Mr Tan,55,2655,91
Bande dessinée jeunesse,547,Pas de repos pour les héros,,37,1810,38
Bande dessinée jeunesse,642,Naruto. 15,"Kishimoto,  Masashi",43,4147,57
Livre jeunesse,781,Grosse colère,"Allancé,  Mireille d'",46,2642,94
Bande dessinée jeunesse,640,Sardine de l'espace. 13. Le mange-manga,"Guibert,  Emmanuel",43,2840,53
Bande dessinée jeunesse,995,Max et Lili trouvent leur cousin angoissé,"Saint-Mars,  Dominique de",48,5591,95
Bande dessinée jeunesse,911,Max et Lili se sont perdus,"Saint-Mars,  Dominique de",37,5215,72
Bande dessinée jeunesse,687,Alex est handicapé,"Saint-Mars,  Dominique de",35,3333,67
Bande dessinée jeunesse,640,The promised neverland. 3,"Shirai,  Kaiu",52,2249,56
Bande dessinée jeunesse,635,Naruto. 22,"Kishimoto,  Masashi",45,4143,63
Bande dessinée jeunesse,612,Naruto. 67,"Kishimoto,  Masashi",45,3185,59
Bande dessinée jeunesse,593,La rentrée des crasses,"Coppée,  Thierry",37,2414,47
Bande dessinée jeunesse,812,Naruto. 4,"Kishimoto,  Masashi",48,4548,70
Bande dessinée jeunesse,1607,Prout atomique,Mr Tan,54,4810,123
Bande dessinée jeunesse,894,Splatch !,,44,1806,56
Bande dessinée jeunesse,821,Max et Lili ne font pas leurs devoirs,"Saint-Mars,  Dominique de",42,4962,78
Livre adulte,728,La plus secrète mémoire des hommes,"Sarr,  Mohamed Mbougar",48,1088,72
Livre adulte,622,Miroir de nos peines : roman,"Lemaitre,  Pierre",47,1446,59
Bande dessinée jeunesse,555,L'atelier des sorciers. 5,"Shirahama,  Kamome",53,1360,57
Bande dessinée jeunesse,869,J'irai où tu iras,"Lyfoung,  Patricia",51,4707,76
Bande dessinée jeunesse,610,Iruma à l'école des démons. 1,"Nishi,  Osamu",43,1204,55
Bande dessinée jeunesse,686,E-sport,"Dequier,  Bruno",45,1408,50
Bande dessinée jeunesse,774,"Yes, I can !",Patelin,42,3240,54
Bande dessinée jeunesse,553,Petit Poilu. 18. Superpoilu,"Fraipont,  Céline",40,2233,47
Livre adulte,657,Nom,"Debré,  Constance",50,883,50
Bande dessinée jeunesse,572,Aventure au pays des samouraïs,"Oda,  Eiichir?",48,1511,54
Bande dessinée jeunesse,1325,La fille de Vercingétorix,"Ferri,  Jean-Yves",65,3547,116
Bande dessinée jeunesse,951,Astérix et les Goths,"Goscinny,  René",50,5180,79
Bande dessinée jeunesse,624,Ca va chauffer !,"Cohen,  Jacqueline",29,4071,44
Livre jeunesse,557,Joyeux anniversaire !,"Nakagawa,  Chihiro",42,1342,69
Bande dessinée jeunesse,1110,Frères ennemis,"Sobral,  Patrick",54,5768,91
Bande dessinée jeunesse,920,Deep impact,Midam,45,1386,56
Bande dessinée jeunesse,844,Il est toujours là,"Lyfoung,  Patricia",53,1768,64
Bande dessinée jeunesse,759,La soupe aux schtroumpfs,Peyo,36,3928,52
Bande dessinée jeunesse,680,Abracada...boum !,"Cohen,  Jacqueline",31,4149,47
Bande dessinée jeunesse,1344,Le papyrus de César,"Ferri,  Jean-Yves",60,6551,109
Bande dessinée jeunesse,1339,Astérix et la Transitalique,"Ferri,  Jean-Yves",65,5221,109
Bande dessinée jeunesse,835,Marlène grignote tout le temps,"Saint-Mars,  Dominique de",37,3198,63
Bande dessinée jeunesse,795,Les Schtroumpfs et la machine à rêver,"Jost,  Alain",50,2479,60
Bande dessinée jeunesse,656,Naruto. 38,"Kishimoto,  Masashi",44,4082,60
Bande dessinée jeunesse,649,Naruto. 28,"Kishimoto,  Masashi",47,4069,60
Bande dessinée jeunesse,598,Super zéro !,"Coppée,  Thierry",39,2525,52
Bande dessinée jeunesse,596,Naruto. 47,"Kishimoto,  Masashi",43,3517,51
Bande dessinée jeunesse,670,L'affaire Tournesol,Hergé,55,5715,84
Bande dessinée jeunesse,604,Le pays divisé,Dugomier,47,1645,56
Bande dessinée jeunesse,578,The promised Neverland. 17,"Shirai,  Kaiu",52,1236,54
Bande dessinée jeunesse,779,Lucien n'a pas de copains,"Saint-Mars,  Dominique de",39,3523,63
Bande dessinée jeunesse,584,Les cairns rouges,"Vehlmann,  Fabien",47,4111,63
Bande dessinée jeunesse,1540,Jurassic mamie,Mr Tan,55,4517,124
Bande dessinée jeunesse,697,Le secret de la potion magique,"Astier,  Alexandre",41,2300,54
Bande dessinée adulte,693,Les cahiers d'Esther : histoire de mes 10 ans,"Sattouf,  Riad",62,3846,69
Bande dessinée jeunesse,607,Slime project,Midam,36,2436,43
Bande dessinée jeunesse,575,Ma bible,"Oda,  Eiichir?",45,1173,50
Bande dessinée jeunesse,599,Le retour de la momie qui pue qui tue,Midam,38,2594,45
Bande dessinée jeunesse,592,Platine laser,"Sfar,  Joann",34,2149,48
Bande dessinée jeunesse,1122,Max et Lili veulent rester en vacances,"Saint-Mars,  Dominique de",48,4297,109
Bande dessinée jeunesse,954,Astérix et Latraviata,"Uderzo,  Albert",51,4791,80
Bande dessinée jeunesse,740,Les vacances infernales,"Cohen,  Jacqueline",31,5014,51
Bande dessinée jeunesse,703,Emile et Margot. 2. Monstrueuses bêtises !,"Didier,  Anne",40,2849,52
Bande dessinée jeunesse,686,Un été à Tsurumaki,"Komatsu,  Shin'ya",38,434,48
Jeux de société,630,Quatre en ligne :,,4,1753,5
Bande dessinée jeunesse,595,Les schtroumpfs joueurs,"Parthoens,  Luc",29,2816,45
Bande dessinée jeunesse,708,Les Schtroumpfs et le vol des cigognes,"Jost,  Alain",43,1543,47
Bande dessinée jeunesse,627,Ici Radio-casserole,"Cohen,  Jacqueline",26,3584,41
Bande dessinée jeunesse,616,All it takes is one bad day,"Horikoshi,  K?hei",48,1434,54
Bande dessinée adulte,565,Les strates,"Bagieu,  Pénélope",45,845,48
Bande dessinée jeunesse,995,Max et Lili veulent être populaires,"Saint-Mars,  Dominique de",50,6414,89
Bande dessinée jeunesse,577,Naruto. 64,"Kishimoto,  Masashi",45,3308,55
Bande dessinée jeunesse,688,Le lotus bleu,Hergé,55,5012,79
Bande dessinée jeunesse,624,Les Schtroumpfs et les haricots mauves,"Culliford,  Thierry",37,2310,45
Bande dessinée jeunesse,601,Schtroumpf-les-Bains,"Culliford,  Thierry",33,3116,41
Bande dessinée jeunesse,738,Les dieux sont amour,"Sobral,  Patrick",45,1136,51
Bande dessinée jeunesse,552,One Piece. 72. Les oubliés de Dressrosa,"Oda,  Eiichiro",44,2849,51
Bande dessinée jeunesse,1089,Chat méchant,"Guibert,  Emmanuel",44,3711,78
Bande dessinée jeunesse,788,Elle est de retour,"Lyfoung,  Patricia",53,1174,64
Bande dessinée jeunesse,1074,Toujours dans les pattes !,"Cazenove,  Christophe",43,3837,72
Bande dessinée jeunesse,1045,Une jolie vache,"Guibert,  Emmanuel",44,3339,70
Bande dessinée jeunesse,698,L'apprenti schtroumpf,Peyo,40,4158,53
Bande dessinée jeunesse,1104,La copine de Lili est en famille d'acueil,"Saint-Mars,  Dominique de",43,4389,85
Bande dessinée jeunesse,787,La rose écarlate. 12. Tu m'as ouvert les yeux,"Lyfoung,  Patricia",50,2656,62
Bande dessinée jeunesse,625,Les Schtroumpfs à Pilulit,"Jost,  Alain",32,2575,41
Bande dessinée jeunesse,1064,Razzia,"Sobral,  Patrick",47,2938,67
Bande dessinée jeunesse,938,Lili veut un petit chat,"Saint-Mars,  Dominique de",51,5789,80
Bande dessinée jeunesse,675,"Salut, les zinzins !","Cohen,  Jacqueline",30,4565,50
Bande dessinée jeunesse,671,L'oreille cassée,Hergé,54,5578,78
Bande dessinée jeunesse,621,Le miracle de la vie,Zep,45,3736,63
Bande dessinée jeunesse,615,Docteur schtroumpf,"Parthoens,  Luc",31,3167,41
Bande dessinée jeunesse,740,Naruto. 3,"Kishimoto,  Masashi",46,4159,70
Bande dessinée jeunesse,717,Elle a tellement changé,"Lyfoung,  Patricia",48,2470,64
Bande dessinée jeunesse,578,The promised Neverland. 20,"Shirai,  Kaiu",51,1092,53
Bande dessinée jeunesse,955,Max boude,"Saint-Mars,  Dominique de",48,6499,99
Bande dessinée jeunesse,639,Alien Chantilly,Midam,43,3974,55
Livre jeunesse,604,Max va à la peche avec son père,"Saint-Mars,  Dominique de",39,3416,61
Bande dessinée jeunesse,825,Watergate,Midam,34,2987,44
Bande dessinée jeunesse,755,Ca roule !,"Cohen,  Jacqueline",32,5763,63
Bande dessinée jeunesse,712,"Chi, une vie de chat. 1","Konami,  K.",43,4258,71
Bande dessinée jeunesse,556,Naruto. 46,"Kishimoto,  Masashi",44,2908,51
Bande dessinée jeunesse,915,C'est elle qui a commencé,"Cazenove,  Christophe",42,3981,65
Livre jeunesse,746,Max est casse-cou,"Saint-Mars,  Dominique de",38,3723,69
Bande dessinée jeunesse,843,"Ben ça, alors !","Cohen,  Jacqueline",35,5390,64
Jeux de société prêtable,760,Perplexus : : original,,8,2254,8
Bande dessinée jeunesse,741,Lili a peur des contrôles,"Saint-Mars,  Dominique de",40,3211,64
Bande dessinée jeunesse,647,Louca. 2. Face à face,"Dequier,  Bruno",46,2830,60
Bande dessinée jeunesse,577,Naruto. 42,"Kishimoto,  Masashi",42,3567,53
Livre sonore jeunesse,570,Coco et le bébé,"Du Bouchet,  Paule",42,1764,76
Bande dessinée jeunesse,840,Le trésor de Rackham le Rouge,Hergé,60,6010,87
Livre jeunesse,775,Les parents de Zoé divorcent,"Saint-Mars,  Dominique de",39,4204,68
Bande dessinée jeunesse,751,Ils sont partout !,"Didier,  Anne",39,3464,51
Bande dessinée jeunesse,606,Naruto. 21,"Kishimoto,  Masashi",42,3410,56
Bande dessinée jeunesse,554,Supermarsu,"Colman,  Stéphane",41,837,42
Bande dessinée jeunesse,1122,Les Légendaires. 14. L'héritage du mal,"Sobral,  Patrick",50,3979,79
Bande dessinée jeunesse,807,Lili veut etre une star,"Saint-Mars,  Dominique de",36,3598,65
Bande dessinée jeunesse,764,Max se trouve nul,"Saint-Mars,  Dominique de",48,4455,80
Musique jeunesse,568,Coco et la confiture,"Du Bouchet,  Paule",36,1551,62
Bande dessinée jeunesse,825,Expédition surprise,"Didier,  Anne",44,1985,55
Bande dessinée jeunesse,773,Very bad trip,Midam,45,3000,57
Bande dessinée jeunesse,668,L'intelligence archificelle,"Guibert,  Emmanuel",47,1560,57
Bande dessinée jeunesse,612,Frère offert !!! : cerveau non inclus,"Dutto,  Olivier",37,1271,46
Bande dessinée jeunesse,1003,Naruto. 1,"Kishimoto,  Masashi",46,4125,85
Bande dessinée jeunesse,735,Lili part en camp de vacances,"Saint-Mars,  Dominique de",36,3313,60
Livre adulte,622,Le jeune homme,"Ernaux,  Annie",52,1148,62
Bande dessinée jeunesse,583,Les terres basses,"Vehlmann,  Fabien",52,4577,68
Bande dessinée jeunesse,566,Yakari et la tueuse des mers,Job,43,3677,47
Bande dessinée jeunesse,656,C'est pô juste...,Zep,39,4105,66
Bande dessinée jeunesse,1293,La fête à la grenouille,"Guibert,  Emmanuel",48,4666,81
Bande dessinée jeunesse,728,Les 7 boules de cristal,Hergé,62,5345,88
Bande dessinée adulte,658,Les cahiers d'Esther. Histoires de mes 11 ans,"Sattouf,  Riad",60,3304,67
Bande dessinée jeunesse,798,Max et Lili ont peur,"Saint-Mars,  Dominique de",44,4529,81
Bande dessinée jeunesse,645,"Dark, j'adore !",Midam,39,3732,51
Bande dessinée jeunesse,1089,Lili veut un téléphone portable,"Saint-Mars,  Dominique de",43,5942,92
Bande dessinée jeunesse,978,Tout pour lui plaire !,"Cazenove,  Christophe",45,3287,67
Bande dessinée jeunesse,862,L'idole des écoles !,Zidrou,46,2018,58
Bande dessinée jeunesse,649,Miguel,"Sobral,  Patrick",47,2089,53
Bande dessinée jeunesse,1148,Le gardien,"Sobral,  Patrick",53,5308,96
Bande dessinée jeunesse,1031,Idylles,"Neel,  Julien",50,4690,79
Bande dessinée jeunesse,751,Gouzi gouzi gouzi,Midam,40,2828,51
Livre jeunesse,720,Nina a été adoptée,"Saint-Mars,  Dominique de",33,3957,64
Bande dessinée jeunesse,687,Astérix chez les Helvètes,"Goscinny,  René",41,4104,55
Bande dessinée jeunesse,606,Mic-Mac chez monsieur Range-Tout,"Fraipont,  Céline",47,1915,52
Bande dessinée jeunesse,589,Schtroumpf vert et vert schtroumpf,Peyo,34,3533,42
Bande dessinée jeunesse,584,One Piece : édition originale. 87,"Oda,  Eiichir?",47,1850,53
Bande dessinée jeunesse,600,One Piece : édition originale. 84,"Oda,  Eiichir?",47,2227,53
Bande dessinée jeunesse,860,Un air de famille,Cazenove,48,3473,72
Bande dessinée adulte,748,Le grand fossé,"Uderzo,  Albert",48,4218,64
Bande dessinée jeunesse,561,Symphonie en Bill majeur,"Cazenove,  Christophe",43,2342,47
Bande dessinée jeunesse,636,Bill se tient à Caro,"Cazenove,  Christophe",49,1251,54
Bande dessinée jeunesse,553,Un avenir radieux,"Horikoshi,  K?hei",49,1815,56
Livre sonore jeunesse,597,Le doudou de Coco : une histoire mise en musique,"Du Bouchet,  Paule",47,1660,78
Bande dessinée jeunesse,550,Mêlée générale,"Horikoshi,  K?hei",46,1381,50
