id,adresse,code_postal,commune,nature_operation,responsable_operation,date_operation,protohistoire,antiquite,moyen_age,temps_modernes,epoque_contemporaine,synthese,x,y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
561,36 rue Saint-Merri,75004,Paris,Suivi de travaux,Servat Edmond,1972,Non,Oui,Non,Non,Non,"En novembre 1972, à l'occasion du terrassement du plateau Beaubourg, à l'intersection de la rue Saint-Merri et de la rue Saint-Martin, dans une bande de terrain située à l'est de l'égout central de cette dernière rue, E. Servat a observé, sur un mètre d'épaisseur, sans doute plusieurs états de la voie romaine recouverte par la voie médiévale. Une monnaie du IIIe siècle (Probus ?) a été prélevée « presque sur un sol bétonné », « petits cailloux liés à un mortier très dur » constituant la couche inférieure reposant sur « une couche de terre sablonneuse rougeâtre stérile », reposant elle-même sur le terrain vierge. Plusieurs fosses sont également signalées dans le sable, apparemment antérieures à cette section de la voie antique.",652392.953,6862428.15,Feature,"[2.3511192904072433, 48.86012759548194]",Point,2.3511192904072438,48.86012759548194
1382,17 quai de Seine,75019,Paris,Diagnostic,Boizot Franck,1994,Non,Non,Non,Oui,Non,"La construction d'un bâtiment sur la parcelle sise au 17-21 quai de Seine a fait l'objet de la réalisation de sondages de diagnostic en vue d'évaluer le potentiel archéologique. Les terrains sont situés au nord-est des limites de la commune de Paris, à l'intérieur de celle-ci près du bassin de la Villette.
Les niveaux pédologiques et géologiques rencontrés sont respectivement de deux types : le premier est une couche brune (terre végétale), le second un sable fin jaunâtre argileux.
Les textes anciens confirment que le quartier de la Villette a appartenu successivement à différentes institutions : la chapelle Saint-Denis, la léproserie Saint-Lazard, l'abbaye Sainte-Perrine et Notre-Dame de Paris. En 1805, pour être plus précis, la parcelle elle même faisait partie de 1198 à 1482 de l'enclave de la léproserie Saint-Lazard, puis elle devient la propriété de Notre-Dame de Paris, grâce au baillage général et de par son statut de ""fief du sens commun"". Deux sondages de 35 m et un de 8 m de long ont été réalisés. Après talutage, sept coupes témoins ont été relevées. A l'emplacement de celles-ci, des sondages ponctuels ont été réalisés (8 m de profondeur) sous les niveaux d'occupation anciens, afin de vérifier qu'il n'existait plus de témoin archéologique.
Une occupation importante est reconnue dès le début du XVIe siècle (présence de sols et de caves, avec rejets de matériel), les périodes antérieures (XVe-XIVe s. et gallo-romaine) ne sont pas représentées que d'une manière diffuse dans la couche végétale.",653862.234,6865172.53,Feature,"[2.370846593883629, 48.88491411863211]",Point,2.370846593883629,48.88491411863211
2129,7 rue Saint-Hippolyte,75013,Paris,Découverte ancienne,Vacquer Théodore,,Non,Non,Non,Non,Non,"À une date non précisée, en amont de la démolition d'une cave, Th. Vacquer signale la présence d'un grand sarcophage en pierre.",652114.757,6859743.78,Feature,"[2.347629943276585, 48.83596654138481]",Point,2.347629943276585,48.83596654138481
1541,1 rue Saint-Étienne-du-Mont,75005,Paris,Découverte ancienne,,1620,Non,Oui,Non,Non,Non,"En 1620 fut découvert dans le cloître des chanoines un sarcophage de marbre blanc décoré figurant la chasse de Méléagre.  On doit se demander néanmoins si cette pièce exceptionnelle dans le contexte lutétien était en position première lorsqu'elle fut découverte. Il s'agit en effet d'une pièce à motif païen, probablement du Haut-Empire, alors que la nécropole antique supposée des environs de Sainte-Geneviève doit être beaucoup plus tardive.",652209.566,6860925.28,Feature,"[2.34878878133412, 48.846598822092425]",Point,2.34878878133412,48.846598822092425
1587,33 rue de l'Arbre Sec,75001,Paris,Découverte ancienne,Sellier Charles,1898 - 1899,Non,Non,Oui,Non,Non,Un sarcophage de plâtre contenant des os humains a été découvert en 1898 lors du raccordement de conduites d'eau consécutif à la construction de la ligne n° 1 du métropolitain. Cette découverte suggère que le cimetière mérovingien ou carolingien de Saint-Germain-l'Auxerrois s'étendait jusque là avant sa suppression.,651746.891,6862491.36,Feature,"[2.3423067396191, 48.8606479477715]",Point,2.3423067396191,48.8606479477715
1682,99 boulevard de Sébastopol,75002,Paris,Découverte ancienne,Sellier Charles,1906,Non,Non,Non,Non,Non,"Lors de fouilles pour le drainage d'appareils hydrauliques en 1906, un certain nombre d'ossements humains ont été découverts sur une épaisseur d'environ 2,50 m à l'emplacement de l'ancien cimetière de l'hôpital de la Trinité.",652469.395,6863065.13,Feature,"[2.352089906019895, 48.865861508542054]",Point,2.352089906019895,48.86586150854205
427,1 place Louis Lépine,75004,Paris,Découverte ancienne,,1941,Non,Non,Non,Non,Non,Des murs en fondation paraissent avoir été découverts vers 1941.,652094.378,6861840.08,Feature,"[2.347116190922958, 48.85481699166883]",Point,2.347116190922958,48.85481699166883
1156,247 rue Saint-Jacques,75005,,Découverte ancienne,Vacquer Théodore,1865 ?,Non,Oui,Non,Non,Non,"Peut-être en 1865, Théodore Vacquer observa le  cardo maximus  à de multiples reprise le long de la rue Saint-jacques, du numéro 241 au numéro 282. Il observe notamment une bordure en pierres sèches devant les n° 245 à 251.",651666.728,6860479.56,Feature,"[2.3414428519941306, 48.84254995731815]",Point,2.3414428519941306,48.84254995731815
17,123 rue Saint-Honoré,75001,Paris,Découverte ancienne,Magne Charles,1910,Non,Non,Non,Oui,Non,"Une tête mitrée sculptée en pierre, datant du XVIIIe siècle, a été mise au jour en 1910, lors de fouilles pour la construction d'une cave, sous le passage conduisant à la cour d'Aligre.",651709.639,6862587.82,Feature,"[2.3417880566328657, 48.86151259864405]",Point,2.3417880566328657,48.86151259864405
1514,85 rue de Rennes,75006,Paris,Découverte ancienne,Vacquer Théodore,,Non,Oui,Non,Non,Non,"A une date non précisée, Th. Vacquer rapporte qu'« on aurait trouvé, dans la fouille de cette maison, des sépultures antiques ». Cette découverte est à prendre avec précaution.",650822.171,6861312.8,Feature,"[2.329839672570627, 48.84997935973601]",Point,2.329839672570627,48.84997935973601
