rang,type_de_document,reservations,titre,auteur
455,Bande dessinée jeunesse,88.0,Demon slayer : Kimetsu no yaiba,"Gotouge,  Koyoharu"
681,Bande dessinée adulte,70.0,La fête de Yuei commence !,"Horikoshi,  K?hei"
830,Bande dessinée ado,63.0,Naruto. 17,"Kishimoto,  Masashi"
870,DVD tous publics,61.0,Adieu Paris,
887,Livre jeunesse,60.0,Harry Potter et la coupe de feu,"Rowling,  Joanne Kathleen"
939,Bande dessinée jeunesse,58.0,One Piece. 42. Les pirates contre le CP9,"Oda,  Eiichir?"
437,Bande dessinée adulte,90.0,Aya de Yopougon. 7,"Abouet,  Marguerite"
631,Livre adulte,74.0,La Fille de Deauville : roman,"Schneider,  Vanessa"
926,Bande dessinée adulte,59.0,La cellule : enquête sur les attentats du 13 novembre 2015,"Seelow,  Soren"
64,Livre adulte,257.0,Trois : roman,"Perrin,  Valérie"
135,DVD nouveautés tous publics,171.0,Aline,
374,Bande dessinée ado,98.0,Pas de souci !,"Oda,  Eiichiro"
620,Livre adulte,75.0,Nous irons mieux demain,"Rosnay,  Tatiana de"
697,Bande dessinée ado,70.0,Fairy Tail. 6,"Mashima,  Hiro"
874,Nouveauté,61.0,Blanc,"Tesson,  Sylvain"
130,Bande dessinée adulte,175.0,La bibliomule de Cordoue,"Lupano,  Wilfrid"
343,DVD tous publics,102.0,Shang-Chi et la légende des dix anneaux,
542,DVD nouveautés tous publics,81.0,Les  passagers de la nuit/Hers,
589,Livre adulte,78.0,Code 93,"Norek,  Olivier"
227,Livre en langue étrangère,128.0,"Beautiful World, Where Are You","Rooney,  Sally"
476,Livre adulte,87.0,Ecoute la pluie tomber : roman,"Ruiz,  Olivia"
692,DVD nouveautés tous publics,70.0,Les  animaux fantastiques : les secrets de Dumblemore,
279,Nouveauté jeunesse,113.0,"My hero academia. 2. Déchaîne-toi, maudit nerd !","Horikoshi,  Kohei"
726,Nouveauté,68.0,Solo leveling. 5,Chugong
881,Bande dessinée jeunesse,61.0,Naruto. 57,"Kishimoto,  Masashi"
431,Livre jeunesse,91.0,A la mode de chez nous,Cazenove
485,Nouveauté,86.0,"Climat, crises : le plan de transformation de l'économie française",
447,DVD > 12 ans,89.0,Venom 2 : Let there be carnage,
729,Livre adulte,68.0,No-no-yuri : roman,"Shimazaki,  Aki"
819,DVD nouveautés tous publics,63.0,"Les Animaux fantastiques 2, les crimes de Grindelwald",
494,Bande dessinée jeunesse,85.0,My hero academia. 31. Izuku Midoroya et Toshinori Yagi,"Horikoshi,  K?hei"
710,Livre jeunesse,69.0,Le trésor interdit,"Sutherland,  Tui"
113,Bande dessinée jeunesse,188.0,Le serment,"Oda,  Eiichiro"
419,DVD nouveautés tous publics,92.0,Black Widow,
652,Bande dessinée jeunesse,72.0,Le chant de l'ambre,"Siegel,  Mark"
229,DVD tous publics,128.0,Les  promesses,
719,Livre adulte,68.0,Kilomètre zéro : le chemin du bonheur,"Ankaoua,  Maud"
32,Nouveauté,350.0,Quand tu écouteras cette chanson,"Lafon,  Lola"
163,DVD nouveautés tous publics,155.0,Julie (en 12 chapitres),
779,Bande dessinée jeunesse,65.0,Naruto. 72,"Kishimoto,  Masashi"
828,Nouveauté,63.0,Trouver refuge : roman,"Ono-dit-Biot,  Christophe"
859,,61.0,My hero academia. 17. Le million,"Horikoshi,  K?hei"
60,Livre adulte,261.0,Le voyant d'Etampes,"Quentin,  Abel"
67,Livre adulte,250.0,Les cahiers d'Esther. 5. Histoires de mes 14 ans,"Sattouf,  Riad"
218,Livre adulte,132.0,La femme gelée,"Ernaux,  Annie"
844,Bande dessinée adulte,62.0,Tananarive,"Eacersall,  Mark"
340,,102.0,"Le choix du chômage : de Pompidou à Macron, enquête sur les racines de la violence économique","Collombat,  Benoît"
577,Bande dessinée jeunesse,78.0,The promised Neverland. 15,"Shirai,  Kaiu"
849,Bande dessinée jeunesse,62.0,Une jolie vache,"Guibert,  Emmanuel"
375,Bande dessinée ado,98.0,Le vieux schnock,"Oda,  Eiichiro"
475,Nouveauté,87.0,La promesse,"Galgut,  Damon"
95,Nouveauté,210.0,Les gens de Bilbao naissent où ils veulent,"Larrea,  Maria"
160,DVD tous publics,157.0,Délicieux,
194,Bande dessinée adulte,139.0,Coming in,"Font,  Elodie"
260,DVD nouveautés tous publics,119.0,Les  éternels,
379,Bande dessinée adulte,97.0,L'accident de chasse,"Carlson,  David L."
428,Livre adulte,91.0,Les flammes de pierre : roman,"Rufin,  Jean-Christophe"
783,Livre adulte,65.0,La chronique des Bridgerton. 7 & 8,"Quinn,  Julia"
612,Livre adulte,75.0,Simple,"Ottolenghi,  Yotam"
656,DVD nouveautés tous publics,72.0,Albatros,
39,Livre adulte,330.0,Paris-Briançon : roman,"Besson,  Philippe"
323,DVD tous publics,104.0,Les  2 Alfred,
380,Bande dessinée jeunesse,97.0,One Piece : édition originale. 100,"Oda,  Eiichir?"
450,DVD nouveautés tous publics,89.0,Downton Abbey II : Une nouvelle ère,
176,Bande dessinée jeunesse,151.0,Vieux machin,"Oda,  Eiichiro"
250,DVD tous publics,121.0,À plein temps,
517,DVD nouveautés tous publics,83.0,Old,
536,Bande dessinée jeunesse,81.0,One Piece : édition originale. 24. Croire en ses rêves,"Oda,  Eiichir?"
29,DVD nouveautés tous publics,359.0,Illusions perdues,
353,Livre jeunesse,101.0,Le cycle d'Anathos : la marque du destin,"Sobral,  Patrick"
580,Bande dessinée jeunesse,78.0,Katouki Bakugo : l'envol,"Horikoshi,  K?hei"
873,Livre adulte,61.0,Identités croisées,"Coben,  Harlan"
988,DVD nouveautés tous publics,56.0,L'Homme de la cave,
99,Livre adulte,202.0,La clé de votre énergie : 22 protocoles pour vous libérer émotionnellement,"Calestrémé,  Natacha"
298,,108.0,René.e aux bois dormants,"Usdin,  Élène"
498,Livre jeunesse,84.0,La mission de Péril,"Sutherland,  Tui"
878,Bande dessinée ado,61.0,Naruto. 36,"Kishimoto,  Masashi"
451,DVD nouveautés tous publics,89.0,Top Gun : Maverick,
525,Bande dessinée jeunesse,82.0,Bergères guerrières. 3,"Garnier,  Jonathan"
705,Bande dessinée jeunesse,69.0,Sous un ciel d'azur,"Horikoshi,  K?hei"
766,Livre adulte,66.0,Le rocher blanc,"Hope,  Anna"
226,,128.0,L'île au secret,"Sutherland,  T.T."
895,Bande dessinée jeunesse,60.0,Mission : Yozakura family. 2,"Gondaira,  Hitsuji"
366,Bande dessinée adulte,99.0,Choses sérieuses,"Oseman,  Alice"
626,Livre jeunesse,74.0,Harry Potter et la chambre des secrets,"Rowling,  Joanne Kathleen"
759,Bande dessinée adulte,66.0,The promised neverland. 1,"Shirai,  Kaiu"
799,Livre adulte,64.0,Pouilles,
263,Bande dessinée adulte,118.0,Blanc autour,"Lupano,  Wilfrid"
119,Livre adulte,182.0,Samouraï : roman,"Caro,  Fabrice"
813,DVD tous publics,64.0,Top gun,"Scott,  Tony"
254,,120.0,La montagne de jade,"Sutherland,  T.T."
609,Livre jeunesse,76.0,Un air de famille,Cazenove
483,DVD tous publics,86.0,OVNI(s). Saison 1,
82,Bande dessinée jeunesse,230.0,Luffy versus la bande à Baggy !!,"Oda,  Eiichiro"
156,Bande dessinée jeunesse,158.0,Mortelle Adèle et la galaxie des bizarres,Mr Tan
123,DVD tous publics,177.0,Stillwater,
152,Livre adulte,161.0,"Où es-tu, monde admirable ?","Rooney,  Sally"
557,Bande dessinée ado,80.0,Fairy Tail. 3,"Mashima,  Hiro"
834,Bande dessinée jeunesse,63.0,Le roi du chahut,"Didier,  Anne"
942,Livre adulte,58.0,L'événement,"Ernaux,  Annie"
784,Bande dessinée adulte,65.0,Les carnets de l'apothicaire. 7,"Nanao,  Itsuki"
289,Livre adulte,111.0,Billy Summers : roman,"King,  Stephen"
583,DVD nouveautés tous publics,78.0,Tous en scène 2,
552,Livre adulte,80.0,Les carnets de l'apothicaire. 4,"Nanao,  Itsuki"
683,Bande dessinée jeunesse,70.0,Tombés du ciel,"Dugomier,  Vincent"
107,DVD tous publics,196.0,En corps,
224,Livre adulte,129.0,Sel : roman,"Adler-Olsen,  Jussi"
500,,84.0,Le pays divisé,Dugomier
470,DVD tous publics,87.0,Mandibules,
539,Livre adulte,81.0,La chronique des Bridgerton. 5 & 6,"Quinn,  Julia"
232,Livre adulte,127.0,Confusion,"Howard,  Elizabeth Jane"
381,DVD nouveautés tous publics,97.0,Mort sur le Nil,
426,,91.0,La bombe,"Bollée,  Laurent-Frédéric"
882,Bande dessinée jeunesse,61.0,One Piece : édition originale. 33. Davy back fight !!,"Oda,  Eiichir?"
941,,58.0,La cantine de minuit. 1,"Abe,  Yaro"
454,,88.0,The promised neverland. 4,"Shirai,  Kaiu"
548,Nouveauté,80.0,The promised neverland. 5,"Shirai,  Kaiu"
509,,84.0,Soixante printemps en hiver,"Chabbert,  Ingrid"
180,DVD tous publics,149.0,Les intranquilles,
16,Livre adulte,473.0,Numéro deux,"Foenkinos,  David"
795,Bande dessinée jeunesse,65.0,Les légendaires : Les origines. 03. Gryfenfer,"Sobral,  Patrick"
182,coffret DVD tous publics,147.0,OVNI(s). Nouvelle saison,
204,Livre adulte,134.0,The  Father,
711,DVD nouveautés tous publics,69.0,Amants,
283,Bande dessinée jeunesse,112.0,"Heartstopper : deux garçons, une rencontre. 1","Oseman,  Alice"
526,Nouveauté,82.0,Ultramarins,"Navarro,  Mariette"
294,Livre adulte,109.0,Le serpent majuscule : roman,"Lemaitre,  Pierre"
471,Livre adulte,87.0,Un corps à soi,"Froidevaux-Metterie,  Camille"
571,DVD tous publics,79.0,Le Monde d'hier,
488,,86.0,La page blanche,Boulet
603,Bande dessinée adulte,76.0,"Un général, des généraux","Juncker,  Nicolas"
685,Bande dessinée jeunesse,70.0,Blue lock. 3,"Kaneshiro,  Muneyuki"
560,Bande dessinée jeunesse,80.0,One Piece. 61. A l'aube d'une grande aventure vers le Nouveau Monde,"Oda,  Eiichiro"
131,Livre jeunesse,175.0,Mortelle Adèle. 3. C'est pas ma faute !,Tan
673,DVD nouveautés tous publics,71.0,Les  amours d'Anaïs,
259,,119.0,"Jung, un voyage vers soi","Lenoir,  Frédéric"
195,,138.0,La rose la plus rouge s'épanouit,"Strömquist,  Liv"
434,,90.0,La définition du bonheur,"Cusset,  Catherine"
785,Nouveauté jeunesse,65.0,Dragon ball super. 16. Le meilleur guerrier de l'univers,"Toriyama,  Akira"
382,,97.0,La dernière reine,"Rochette,  Jean-Marc"
57,Livre adulte,273.0,La crue : roman,"McDowell,  Michael"
743,Bande dessinée jeunesse,67.0,"Bouillir, tel est le propre du Oden","Oda,  Eiichir?"
837,Livre adulte,62.0,L'art subtil de s'en foutre : un guide à contre-courant pour être soi-même,"Manson,  Mark"
585,Livre adulte,78.0,L'inconduite,"Becker,  Emma"
904,DVD tous publics,60.0,Pleasure,
956,Livre adulte,58.0,"Successions : l'argent, le sang et les larmes","Bacqué,  Raphaëlle"
964,Bande dessinée jeunesse,57.0,Destruction massive,"Horikoshi,  K?hei"
487,Livre adulte,86.0,"Oh, Canada","Banks,  Russell"
527,Nouveauté jeunesse,82.0,One Piece : édition originale. 99. Luffy au chapeau de paille,"Oda,  Eiichir?"
747,Bande dessinée jeunesse,67.0,Demon slayer : Kimetsu no yaiba. 17,"Gotouge,  Koyoharu"
981,Livre adulte,56.0,"Le corps n'oublie rien : le cerveau, l'esprit et le corps dans la guérison du traumatisme","Van der Kolk,  Bessel A."
333,,103.0,Les méduses n'ont pas d'oreilles : roman,"Rosenfeld,  Adèle"
630,,74.0,Les dieux sont amour,"Sobral,  Patrick"
269,Bande dessinée jeunesse,116.0,Griffes et plumes,"Sobral,  Patrick"
642,Nouveauté,73.0,Asphalte,"Zaccagna,  Matthieu"
115,Bande dessinée jeunesse,183.0,Mortelle Adèle.  T.10 .  Choubidoulove,
324,Livre adulte,104.0,Le carré des indigents,"Pagan,  Hugues"
363,DVD nouveautés tous publics,100.0,Rien à foutre,
458,Livre adulte,88.0,Je réussis ma détox sucre : 80 recettes faciles et rapides,"Philippon,  Bérengère"
625,Bande dessinée jeunesse,74.0,Coeur mandarine ; d'après le roman de Cathy Cassidy,
317,Bande dessinée adulte,105.0,Le secret de la force surhumaine,"Bechdel,  Alison"
765,DVD nouveautés tous publics,66.0,Tromperie,
814,Bande dessinée ado,64.0,Gear,"Oda,  Eiichiro"
433,Bande dessinée jeunesse,90.0,Demon slayer : Kimetsu no yaiba. 15,"Gotouge,  Koyoharu"
883,Bande dessinée jeunesse,60.0,One Piece : édition originale. 29. Oratorio,"Oda,  Eiichir?"
838,Nouveauté,62.0,Le patient,"Le Boucher,  Timothé"
931,DVD nouveautés tous publics,59.0,The  Suicide Squad,
604,,76.0,Les  amants sacrifiés,
632,DVD nouveautés tous publics,74.0,Pig,
17,Livre adulte,467.0,Leurs enfants après eux : roman,"Mathieu,  Nicolas"
793,Bande dessinée adulte,65.0,Sandman,
9,,649.0,Le monde sans fin,"Blain,  Christophe"
248,Livre jeunesse,121.0,Les royaumes de feu. 5. La nuit-la-plus-claire,"Sutherland,  T.T."
767,DVD nouveautés tous publics,66.0,Contes du hasard et autres fantaisies,
146,Livre adulte,164.0,Le mur des silences,Arnaldur Indriðason
328,Bande dessinée jeunesse,104.0,Naruto. 11,"Kishimoto,  Masashi"
422,Bande dessinée jeunesse,92.0,Le gardien,"Sobral,  Patrick"
657,DVD nouveautés tous publics,72.0,On est fait pour s'entendre,
768,,66.0,Les liens artificiels,"Devers,  Nathan"
782,,65.0,One Piece : édition originale. 98,"Oda,  Eiichir?"
890,Nouveauté,60.0,L'atelier des sorciers. 2,"Shirahama,  Kamome"
101,Nouveauté,202.0,Normal people,"Rooney,  Sally"
103,Livre adulte,200.0,Les enfants endormis,"Passeron,  Anthony"
467,Bande dessinée jeunesse,87.0,Demon slayer : Kimetsu no yaiba. 8,"Gotouge,  Koyoharu"
805,Bande dessinée adulte,64.0,Amplifiez vos super pouvoirs !,"Gomez,  Lucile"
863,Bande dessinée jeunesse,61.0,Il est toujours là,"Lyfoung,  Patricia"
73,Nouveauté,241.0,Chien 51 : roman,"Gaudé,  Laurent"
383,Bande dessinée jeunesse,96.0,Premières répressions,Dugomier
901,Bande dessinée jeunesse,60.0,Cocon familial,Nob
124,DVD nouveautés tous publics,177.0,First Cow,
214,Bande dessinée adulte,132.0,Le choeur des femmes,"Mermilliod,  Aude"
187,Livre adulte,144.0,Les armoires vides,"Ernaux,  Annie"
367,DVD tous publics,99.0,Madeleine Collins,
756,Bande dessinée ado,67.0,One Piece. 64,"Oda,  Eiichiro"
983,Bande dessinée jeunesse,56.0,Chaperlipopette !,Mr Tan
318,Livre adulte,105.0,Un chien à ma table : roman,"Hunzinger,  Claudie"
932,,59.0,Lore Olympus. 1,"Smythe,  Rachel"
821,Bande dessinée jeunesse,63.0,One's justice,"Horikoshi,  K?hei"
561,Livre jeunesse,79.0,Retour à l'état sauvage,"Hunter,  Erin"
205,Nouveauté,134.0,On était des loups : roman,"Collette,  Sandrine"
74,Nouveauté,240.0,Les fossoyeurs : révélations sur le système qui maltraite nos aînés,"Castanet,  Victor"
267,Livre adulte,117.0,Le trésorier-payeur : roman,"Haenel,  Yannick"
898,Nouveauté,60.0,La porte du voyage sans retour,"Diop,  David"
963,Livre adulte,57.0,Pachinko : roman,Min Jin Lee
90,DVD nouveautés tous publics,220.0,House of Gucci,
622,Livre jeunesse,75.0,Ca fait suer ! : guide de survie en milieu hostile,"Kinney,  Jeff"
833,Bande dessinée jeunesse,63.0,Naruto. 63,"Kishimoto,  Masashi"
51,Nouveauté,293.0,Les cahiers d'Esther. 6. Histoires de mes 15 ans,"Sattouf,  Riad"
668,Bande dessinée jeunesse,71.0,The promised Neverland. 18,"Shirai,  Kaiu"
702,Nouveauté,69.0,Play boy : roman,"Debré,  Constance"
190,Bande dessinée jeunesse,141.0,La nouvelle(s),"Toussaint,  Kid"
277,Livre jeunesse,114.0,Mortelle Adèle. 5. Poussez-vous les moches,Tan
336,Bande dessinée jeunesse,103.0,Personne en vue !,"Didier,  Anne"
342,Nouveauté,102.0,Blizzard,"Vingtras,  Marie"
740,Bande dessinée jeunesse,67.0,La fille qui aimait les animonstres,"Douyé,  Sylvia"
905,Bande dessinée adulte,60.0,T'zée : une tragédie africaine,Appollo
203,Livre adulte,134.0,Les impatientes,"Amadou Amal,  Djaïli"
66,Bande dessinée jeunesse,252.0,Une vérité qui blesse,"Oda,  Eiichiro"
493,Livre adulte,85.0,Première personne du singulier : nouvelles,"Murakami,  Haruki"
1,Livre adulte,1058.0,Le grand monde,"Lemaitre,  Pierre"
513,,84.0,Les Légendaires. 15. Amour mortel,"Sobral,  Patrick"
781,Bande dessinée adulte,65.0,Sacrées sorcières,"Bagieu,  Pénélope"
871,Nouveauté,61.0,Le choix : roman,"Ardone,  Viola"
879,Bande dessinée ado,61.0,Naruto. 38,"Kishimoto,  Masashi"
59,DVD tous publics,264.0,Boîte noire,
199,DVD nouveautés tous publics,135.0,Cry macho,
464,Bande dessinée jeunesse,88.0,Frères ennemis,"Sobral,  Patrick"
885,Bande dessinée jeunesse,60.0,One Piece : édition originale. 80. Vers une bataille sans précédent,"Oda,  Eiichir?"
3,Livre adulte,949.0,anéantir,"Houellebecq,  Michel"
623,Bande dessinée jeunesse,75.0,Jadina,"Sobral,  Patrick"
695,Bande dessinée jeunesse,70.0,Spy x Family. 9,"End?,  Tatsuya"
753,Bande dessinée adulte,67.0,En lutte,"Toulmé,  Fabien"
34,Livre adulte,345.0,Nom,"Debré,  Constance"
331,Bande dessinée jeunesse,103.0,Demon slayer : Kimetsu no yaiba. 13,"Gotouge,  Koyoharu"
322,Nouveauté,104.0,Sans passer par la case départ,"Läckberg,  Camilla"
444,Bande dessinée jeunesse,89.0,Kaiju n 8. 2,"Matsumoto,  Naoya"
641,Bande dessinée adulte,73.0,Maxiplotte,"Doucet,  Julie"
780,Bande dessinée jeunesse,65.0,L'atelier des sorciers. 5,"Shirahama,  Kamome"
896,,60.0,Poussière dans le vent,"Padura,  Leonardo"
986,Livre adulte,56.0,Suis-je hypersensible ? : enquête sur un pouvoir méconnu,"Midal,  Fabrice"
637,,73.0,The promised Neverland. 13,"Shirai,  Kaiu"
647,,73.0,Vernon Subutex. 1,"Despentes,  Virginie"
100,Bande dessinée adulte,202.0,La naissance de l'humanité,"Harari,  Yuval Noah"
179,Nouveauté,149.0,Alice Guy,"Bocquet,  José-Louis"
208,,134.0,La prophétie,"Sutherland,  T. T."
128,DVD > 12 ans,175.0,Benedetta,
165,,154.0,Le grand vide,"Murawiec,  Léa"
533,Bande dessinée jeunesse,82.0,C'est parti !,"Didier,  Anne"
724,,68.0,Le dit des cigales,"Arleston,  Christophe"
970,DVD tous publics,57.0,The Souvenir : Part I & Part II,
129,Livre adulte,175.0,Le traître et le néant,"Davet,  Gérard"
582,Livre adulte,78.0,Les Nétanyahou,"Cohen,  Joshua"
79,DVD nouveautés tous publics,237.0,La Loi de Téhéran,
302,Livre adulte,107.0,Où vivaient les gens heureux,"Maynard,  Joyce"
811,,64.0,L'espion qui aimait les livres : roman,"Le Carré,  John"
832,Bande dessinée ado,63.0,Je veux que tu m'aimes !,"Lyfoung,  Patricia"
835,Bande dessinée jeunesse,62.0,One Piece. 58. L'ère de Barbe blanche,"Oda,  Eiichir?"
161,DVD nouveautés tous publics,157.0,Spider-Man : No Way Home,
587,Bande dessinée jeunesse,78.0,L'Alystory,"Sobral,  Patrick"
594,Bande dessinée ado,77.0,Naruto. 19,"Kishimoto,  Masashi"
112,Livre adulte,188.0,La place,"Ernaux,  Annie"
121,Bande dessinée jeunesse,179.0,Un talent monstre !,Tan
435,Livre adulte,90.0,La ritournelle,"Valognes,  Aurélie"
575,Bande dessinée ado,78.0,Naruto. 27,"Kishimoto,  Masashi"
839,Bande dessinée adulte,62.0,My hero academia. 21,"Horikoshi,  K?hei"
955,DVD tous publics,58.0,The white Lotus. Saison 1,
139,Bande dessinée adulte,168.0,Zaï zaï zaï zaï,Fabcaro
394,Nouveauté jeunesse,95.0,My hero academia. 8. Momo Yaoyorozu : l'envol,"Horikoshi,  Kohei"
399,Nouveauté,95.0,Le poids des héros,"Sala,  David"
414,Bande dessinée adulte,92.0,"Moi, ce que j'aime, c'est les monstres","Ferris,  Emil"
672,Nouveauté,71.0,Bonnet d'âne !,"Beaton,  M.C."
737,Livre adulte,67.0,Les quatre accords toltèques : la voie de la liberté personnelle,"Ruiz,  Miguel"
