rang,type_de_document,reservations,titre,auteur
827,DVD nouveautés tous publics,63.0,Moonfall,
776,Livre adulte,65.0,Les oubliés du dimanche,"Perrin,  Valérie"
823,Bande dessinée jeunesse,63.0,L'atelier des sorciers. 8,"Shirahama,  Kamome"
215,Livre adulte,132.0,"L'amour, la mer","Quignard,  Pascal"
348,Bande dessinée jeunesse,101.0,Elle est de retour,"Lyfoung,  Patricia"
520,DVD tous publics,83.0,Succession. Saison 3,
591,DVD nouveautés tous publics,77.0,Barbaque,
307,Livre adulte,106.0,Set et match !,"Moriarty,  Liane"
457,Livre adulte,88.0,Lacs italiens et Milan : 2021-2022,"Gloaguen,  Philippe"
198,Bande dessinée jeunesse,137.0,Bergères guerrières. 4,"Garnier,  Jonathan"
5,Livre adulte,755.0,La décision : roman,"Tuil,  Karine"
984,Nouveauté jeunesse,56.0,La terre sainte de Marie Joie,"Oda,  Eiichir?"
287,Livre adulte,111.0,100% Japon : Découvrir et comprendre en 546 images,"Bouissou,  Jean-Marie"
293,,109.0,Algues vertes : l'histoire interdite,"Léraud,  Inès"
338,Bande dessinée jeunesse,103.0,Instinct,"Oda,  Eiichiro"
7,Livre adulte,747.0,Cher connard : roman,"Despentes,  Virginie"
35,DVD tous publics,343.0,Drive My Car,
976,Bande dessinée jeunesse,56.0,One Piece : édition originale. 77. Smile,"Oda,  Eiichir?"
168,Nouveauté,153.0,Dessous les roses,"Adam,  Olivier"
357,,100.0,Miroir de nos peines : roman,"Lemaitre,  Pierre"
921,Bande dessinée adulte,59.0,In waves,"Dungo,  A. J."
183,Livre adulte,146.0,Pour rien au monde,"Follett,  Ken"
257,Livre ado,119.0,Le prince cruel,"Black,  Holly"
507,Nouveauté,84.0,La fille qu'on appelle,"Viel,  Tanguy"
92,Livre adulte,215.0,Lucia : thriller,"Minier,  Bernard"
242,Bande dessinée jeunesse,124.0,Décollage immédiat !,"Didier,  Anne"
76,DVD > 12 ans,239.0,Le Dernier duel,
330,Livre adulte,103.0,L'art de perdre,"Zeniter,  Alice"
562,Livre adulte,79.0,Conversations entre amis,"Rooney,  Sally"
822,Livre jeunesse,63.0,"Les bêtises, c'est maintenant !",Mr Tan
929,Livre adulte,59.0,Glen Affric,"Giebel,  Karine"
