903,identifiant,lien_permament_portail,isbn,ean,langue_du_document,langue_du_texte_intermediaire,langue_de_l_oeuvre_originale,date_de_publication,langue_des_sous_titres,titre,type_de_document,titre_d_un_auteur_different,titre_parallele,complement_du_titre,premiere_mention_de_responsabilite,mention_de_responsabilite_suivante,numero_de_partie,titre_de_partie,lieu_de_publication,nom_de_l_editeur,indication_specifique_du_type_de_document,autres_caracteristiques_materielles,format,materiel_d_accompagnement,collection,est_publie_avec,est_une_traduction_de,niveau_de_l_ensemble,unite_materielle,partie_composante,dates_auteur,dates_co_auteur,dates_auteur_secondaire,auteur_collectivite_element_d_entree,auteur_collectivite_subdivision,auteur_collectivite_date,co_auteur_collectivite_element_d_entree,co_auteur_collectivite_subdivision,co_auteur_collectivite_date,auteur_secondaire_collectivite_element_d_entree,auteur_secondaire_collectivite_subdivision,auteur_secondaire_collectivite_date,localisation,sous_localisation,nombre_d_objets,code_barre,cote,tomaison,categorie_documentaire,collection0,fonds,note,conservation,etat_physique,etat_de_collection,auteur_complet,co_auteur,auteur_secondaire
1918786,RBSVDP0001918786,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001918786,,,['eng'],,,1957,,The fifteen waltzes. ; The three impromptus. ; Fantaisie-impromptu,['[Musique imprimée]'],,,,Chopin,,,,New York,['Lea Pocket Scores'],1 partition (92 p.),,18 cm,,L.P.S.,,,,,,1810-1849,,,,,,,,,,,,BCVP,EPC,1.0,32272117078656,PA 3 CHO 11.11,,PA,,,Prêt réservé aux conservatoires de la ville de Paris,,,,"['Chopin, Frédéric']",,
1073917,RBSVDP0001073917,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001073917,,,['und'],,,[197 ?],,Ferrat chante Aragon,['[Enregistrement sonore]'],,,,"Jean Ferrat, chant",,,,[Paris],['[Compagnie Phonographique Française]'],1 disque,"33 t, stéréo compat.",30 cm,1 feuillet,,,,,,"Un Jour, un jour ; Le Malheur d'aimer ; Les Poètes ; Nous dormirons ensemble ; C'est si peu dire que je t'aime ; J'entends, j'entends ; Que serais-je sans toi ; Robert la diable ; Au bout de mon age ; Heureux celui qui meurt d'aimer",,,,,,,,,,,,,MMP,SON,1.0,32272900643973,T 33739,,MI,,,,,,,"['Ferrat, Jean']",,
2129083,RBSVDP0002129083,https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002129083,,,['fre'],,,1970-1993,,[Festival du Marais. Programmes],['[Texte imprimé]'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,Association de la régie théâtrale,,,BHVP,MAB1,1.0,,8-PRO-0398,,PR,,,Programmes de format in-8? (jusqu'à 25 cm).,,,,,,
2153153,RBSVDP0002153153,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002153153,978-2-7011-9523-0,9782701195230,['fre'],,,DL 2016,,Femmes de la Préhistoire,['[Texte imprimé]'],,,,Claudine Cohen,,,,Paris,['Belin'],1 vol. (257 p.),ill.,22 cm,,Collection Histoire,,,,,,1951-...,,,,,,,,,,,,BMD,MAGI,1.0,32272132289742,8? 21414,,LI,,,,,,,"['Cohen, Claudine']",,
1674923,RBSVDP0001674923,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001674923,,,['fre'],,,Mai 1938,,Vézelise,['[Image fixe]'],,,[photographie],André Zucca,,,,,,3 négatifs sur support souple en nitrate de cellulose,,6 x 6 cm,,,,,,,,1897-1973,,,,,,,,,,,,BHVP ; BHVP ; BHVP,MABU ; MABU ; MABU,,32272900773222 ; 32272900773221 ; 32272900773220,NN-013-00020-F ; NN-013-00019-F ; NN-013-00018-F,,PH ; PH ; PH,,,,,,,"['Zucca, André']",,
1933289,RBSVDP0001933289,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001933289,,,,,,1983,,Elegie,['[Musique imprimée]'],,for five violoncelli,Quintett fu?r fünf Violoncelli ; op.160,Franz Lachner,herausgegeben von Bernhard Pa?uler,,,Winterthur,['Amadeus'],6 parties,,31 cm,,Basso Amadeus,,,,,,1803-1890,,,,,,,,,,,,BCVP,EPC,1.0,32272119579081,3 LAC 15.43,,PA,,,Prêt réservé aux conservatoires de la ville de Paris,,,,"['Lachner, Franz']",,"['Päuler, Bernhard']"
2139946,RBSVDP0002139946,https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002139946,,,['fre'],,,[1890],,Eldorado. Mlle Micheline,['[Image fixe]'],,,[affiche],Louis Colas [?],,,,Paris,['Lith. Belfond & Cie'],1 est.,,90 x 63 cm,,,,,,,,18..-19.,,,,,,,,,,,,BHVP,MAB3,1.0,,1-AFF-002055,,AF,,,,,,,"['Colas, Louis']",,
1678734,RBSVDP0001678734,https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001678734,,,['fre'],,,Fin 1941-août 1944,,Hôtel du XVIIIe siècle rue Saint-Antoine. Affiche : Une œuvre de justice sociale,['[Image fixe]'],,,diapositives,André Zucca,,,,,,3 diapositives couleur,,24 x 36 mm,,,,,,,,1897-1973,,,,,,,,,,,,BHVP ; BHVP ; BHVP,MABU ; MABU ; MABU,,32272900780740 ; 32272900780739 ; 32272900780738,DP-013-00229 ; DP-013-00228 ; DP-013-00227,,PH ; PH ; PH,,,,,,,"['Zucca, André']",,
1138688,RBSVDP0001138688,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001138688,,3333297702317,['fre'],,fre,cop. 2009,fre,La reine des connes,['[Images animées]'],,,,"Guillaume Nicloux, réal., scénario","Laurent Martin, aut. ; Nathalie Leuthreau, scénario ; Christophe Offenstein, image ; Guy Lecorne, montage ; Olivier Radot, décors ; Anaïs Romand, costumes ; Clément Hervieu-Léger, Yves Verhoeven, Pascal Bongard... [et al.], act.",,,Paris,['France télévisions distribution [éd.]'],1 DVD vidéo mono face simple couche zone 2 (1 h),"1.77, 16/9 compatible 4/3, coul. (PAL), son. (Dolby digital 5.1)",,,,,,Suite noire,,,1966-...,,1966-... ; 1977-...,,,,,,,,,,CINE,RESE,1.0,32272092372942,TV SUIT (7),,DV,PRET,,,,,,"['Nicloux, Guillaume']",,"['Martin', 'Offenstein', 'Lecorne', 'Radot', 'Romand', 'Hervieu-Léger', 'Verhoeven', 'Bongard', 'Leuthreau, Laurent', 'Christophe', 'Guy', 'Olivier', 'Anaïs', 'Clément', 'Yves', 'Pascal', 'Nathalie']"
1914900,RBSVDP0001914900,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001914900,,,['ger'],,,,,Ein Todtentanz aus den Jahre 1848,['[Image fixe]'],,,,erfunden und gezeichnet von Alfred Rethel,mit erkla?rendem Texte von R. Reinick.,,,Leipzig,"['Georg Wigand', '[1849]']",6 planches assemblées photomécaniques:,"ill. , caractère gothique;","env.35 x 39 cm chacune; assemblées 117 x 71,5 cm",,,,,,,,1816-1859,1805-1852,,,,,,,,,,,BHVP ; BHVP,MAB3 ; MAB3,,,1-AFF-002719 ; 1-AFF-002720,,AF ; AF,,,,,,,"['Rethel, Alfred']","['Reinick, Robert']",
