ndeg_de_notice,isbn,issn,ean,langue,titre,edition,editeur,date,format,collection,titre_de_serie,ndeg,auteur_nom,auteur_prenom,auteur_dates,libelle_v_smart_et_webopac,nombre_de_localisations,nombre_de_pret_total,nombre_de_prets_2017,nombre_d_exemplaires,categorie_statistique_1,categorie_statistique_2,aime_cesaire,amelie,andre_malraux,andree_chedid,arthur_rimbaud,assia_djebar,batignolles,benjamin_rabier,buffon,canopee_la_fontaine,chaptal,charlotte_delbo,claude_levi_strauss,colette_vivier,courcelles,couronnes_naguib_mahfouz,crimee,diderot,drouot,edmond_rostand,europe,faidherbe,fessart,francois_villon,francoise_sagan,georges_brassens,germaine_tillion,glaciere,goutte_d_or,gutenberg,helene_berr,herge,heure_joyeuse,italie,jacqueline_de_romilly,jean_pierre_melville,lancry,louise_michel,marguerite_audoux,marguerite_duras,marguerite_yourcenar,maurice_genevoix,mmp,mohammed_arkoun,mortier,musset,oscar_wilde,parmentier,place_des_fetes,rainer_maria_rilke,reserve_centrale,robert_sabatier,saint_eloi,saint_simon,sorbier,vaclav_havel,valeyre,vandamme,vaugirard,auteur,co_auteur,auteur_secondaire,collectivite_auteur,collectivite_auteur_secondaire_,collectivite_co_auteur_
1043746,978-2-36852-222-6,,9782368522226,français,Les misérables | 4 | Texte imprimé | Takahiro Arai | d'après l'oeuvre de Victor Hugo,,['Kurokawa'],DL 2016,1 vol. (209 p.) | ill. | 19 cm,Collection dirigée par Grégoire Hellot,Les misérables,4,Arai,Takahiro,1982-....,Bande dessinée jeunesse,23,355.0,144,23,['LMAN Mangas'],['pas de code stat 2'],,,,,1.0,,,1,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,"['Arai, Takahiro']",,"Hugo, Victor",,,
1044126,,,3760233152217,français,"Houdini | Images animées | Cédric Babouche, réal., scénario",,['Rimini Editions [éd.]'],2016,"1 DVD vidéo zone 2 (1 h 36 min), coul. | 1.85:1 ; 16/9 compatible 4/3, coul. (PAL), son.(Dolby Digital 2.0)",,,,,,,DVD jeunesse,17,364.0,143,17,['CFRA Cinema francais'],"[""CANI Film d'animation""]",,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,"Babouche, Cédric",,,
1044274,,,5060391090382,français,The Universe smiles upon you | enregistrement sonore | Khruangbin,,['Night Time Stories'],2015,1 disque compact | DDD | 1 brochure,,,,Khruangbin,,,Disque compact,2,19.0,0,2,"['M209 Fusion de styles, rock ""inclassable""']",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,['Khruangbin'],,,,,
1046034,978-2-340-00823-6,,9782340008236,français,"Les bases de l'arithmétique | Texte imprimé | Claude Rouxel,...",,['Ellipses'],DL 2015,1 vol. (213 p.) | ill. | 24 cm,Autoformation aux bases des mathématiques,,,Rouxel,Claude,1937-....,Livre pour adulte,6,63.0,14,6,"['D502 Math., astronomie, physique, chimie']",['pas de code stat 2'],,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,"['Rouxel, Claude']",,,,,
1046041,978-2-246-85847-8,,9782246858478,français,La vie d'artiste | Tome 2 | L'art | Texte imprimé | Maurice Rheims,,['Bernard Grasset'],DL 2015,1 vol. (334 p.) | 19 cm,Les cahiers rouges | 0756-7170,La vie d'artiste,2,Rheims,Maurice,1910-2003,Livre pour adulte,1,5.0,0,1,['D701 Arts generalites'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Rheims, Maurice']",,,,,
1046508,,,,français,La compil' | N°01 | Musique imprimée,,['Aède Music'],2015,1 partition (54 p.) | 30 cm,,,,,,,Partition,1,23.0,6,1,['M802 Chanson de varietes'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
151914,2-84186-124-4,,,français,Le sourire du spectre | Texte imprimé | nouvel esprit du communisme | Daniel Bensaïd,,['Michalon'],2000,245 p. | 21 cm,,,,Bensaïd,Daniel,1946-2010,Livre pour adulte,3,59.0,2,3,['D302 Politique'],['pas de code stat 2'],,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,"['Bensaïd, Daniel']",,,,,
153515,2-07-029934-1,,,français,Nietzsche | Texte imprimé | introduction à sa philosophie | Karl Jaspers | traduit de l'allemand par Henri Niel ; lettre-préface de Jean Wahl,,['Gallimard'],1978,VII-474 p. | couv. ill. | 19 cm,Collection Tel | 0339-8560 | 29,,,Jaspers,Karl,1883-1969,Livre pour adulte,5,129.0,5,5,['Grands textes philosophiques'],['pas de code stat 2'],,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,"['Jaspers, Karl']",,"Niel;Wahl, Henri;Jean",,,
15371,2-268-04286-3,,,français,Le meurtre étrange d'Emily Seymour | Texte imprimé | Mary London | trad. de l'anglais par Jean-Paul Baudricourt,,['Éd. du Rocher'],2002,233 p. | couv. ill. en coul. | 23 cm,19 | Une enquête de sir Malcolm Ivory.;[Maîtres de la littérature policière],Une enquête de sir Malcolm Ivory.,,London,Mary,1931-....,Livre pour adulte,2,76.0,4,2,['LBRI Litterature britannique'],"[""LPOL Roman policier, roman d'espionnage""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,"['London, Mary']",,"Baudricourt, Jean-Paul",,,
153965,,,,,Sonates | Vol.2 | Enregistrement sonore | A. Planès,,['Harmonia Mundi'],2002,1 compact | DDD | 1 brochure,,,,Haydn,Joseph,1732-1809,Disque compact,2,150.0,2,2,['M308 Musique classique: epoque classique'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"['Haydn, Joseph']",,"Planès, Alain",,,
