localisation,type_de_poste,nombre_d_ordinateurs,position.lon,position.lat
Vaugirard,Poste Jeunesse,1,2.2993589,48.8417004
Drouot,Poste Adulte,4,2.3404653,48.8733839
Claire Bretécher (ex-Lancry),Poste Adulte,3,2.3626033,48.8719649
Vandamme,Poste Adulte,6,2.3218739,48.8386225
Italie,Poste de passage Adulte,2,2.3569681,48.8308705
André Malraux,Poste de passage Adulte,2,2.3275429,48.8478671
Arthur Rimbaud,Catalogue,2,2.3556453,48.8561772
Bibliothèque de la Maison Paris Nature,Poste chercheur,1,2.450027699999964,48.830384
Canopée,Poste Adulte et Jeunesse,8,2.346907,48.862069
Violette Leduc,Poste animation,1,2.3839448,48.8515962
Claude Lévi-Strauss,Poste animation,1,2.3724595,48.8873166
Couronnes - Naguib Mahfouz,Poste de passage Adulte,2,2.3893099,48.8718064
Vaugirard,Poste de passage Adulte,1,2.2993589,48.8417004
Vaclav Havel,Catalogue,4,2.362957,48.8890032
Médiathèque Musicale de Paris,Poste Adulte,5,2.34573014115,48.86306045
Marguerite Yourcenar,Poste Adulte,15,2.3036789,48.8367728
Assia Djebar,Poste animation,1,2.412011600000028,48.8492765
Canopée,Poste de passage Adulte,2,2.346907,48.862069
Edmond Rostand,Poste animation,3,2.3027261,48.8883086
