annee_passage,date_passage,adresse,complement_d_adresse,code_postal,protection,voeu,resolution,siecle_de_construction,date_de_construction,designation,architecte,type_de_travaux_1,type_de_travaux_2,intervention,url_document_de_seance,doc_seance,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2006,2006-06-16,66 avenue Raymond Poincaré,66-66b-66t avenue Raymond Poincaré  / 63-67-71b rue Boissière,75016,['Protection Ville de Paris'],,Pas de résolution,XIX,1896 ; 1912;  1931,,Paul Marbeau ;  Charles Charié,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/3e9cc3ade86c6bfdb943b448217b039d.pdf,Disponible,Feature,"[2.2859172567371338, 48.868084958683845]",Point,2.2859172567371338,48.868084958683845
2009,2009-02-17,112 rue Lepic,112 rue Lepic  / 1 rue de la Mire,75018,['Protection Ville de Paris'],"Protestation au 112, rue Lepic et 1, rue de la Mire, Paris 18eLa Délégation Permanente de la Commission du Vieux Paris, réunie le 17 février 2009 à l’Hôtel de Ville sous la présidence de Mme Colombe Brossel, adjointe au Maire chargée du patrimoine, a émis une vive protestation contre les travaux de modification de façade et de création de terrasse réalisés sans autorisation sur ce bâtiment typique de l’ancien village de Montmartre, et protégé au titre du PLU.",Vœu,XIX,,,,Démolition partielle,Circulations intérieures,,https://cdn.paris.fr/paris/2020/02/26/5e96b621b94a4f46c32e98ad1971356b.pdf,Disponible,Feature,"[2.338406849297559, 48.886735089345926]",Point,2.338406849297559,48.886735089345926
2006,2006-04-25,1 avenue Claude Vellefaux,1 avenue Claude Vellefaux / 2 place du Docteur Alfred Fournier / 19 rue Alibert / 40-40B-42 rue Bichat / 1-29 rue Juliette Dodu/12-18 rue de la Grange aux Belles,75010,['Classé Monument historique'],"La Commission du vieux Paris, réunie le 25 avril 2006 à l’Hôtel de Ville sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, a formé un vœu pour la conservation de la structure des verrières d’origine de la toiture du musée de la dermatologie de l’hôpital Saint-Louis, indépendamment du mode de couverture qui sera adopté. Construit en 1882 par l’architecte Gustave Léon Véra, cet édifice, situé au 1 avenue Claude Vellefaux, 2 place du Docteur Alfred Fournier, 19 rue Alibert, 40-40B-42 rue Bichat, 1-19 rue Juliette Dodu, 12-18 rue de la Grange aux Belles (10e arr.), est inscrit au titre de l’Inventaire supplémentaire des Monuments Historiques.",Vœu,XIX,1882,,Gustave Léon Véra,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/7f44d37fb42f0f3e37d97d4a5c5d5a7b.pdf,Disponible,Feature,"[2.369787867740269, 48.8729069091296]",Point,2.369787867740269,48.8729069091296
2016,2016-06-24,16 rue des Francs-Bourgeois,16 rue des Francs-Bourgeois / 2-4 rue Payenne / 23 rue de Sévigné,75003,['Plan de sauvegarde et de mise en valeur'],,Pas de résolution,XVI,,musée Carnavalet,"Pierre Lescot, François Mansart",Démolition partielle,Circulations intérieures,,https://cdn.paris.fr/paris/2019/07/24/a36b80873faa206563cdfd8e98d4f785.pdf,Disponible,Feature,"[2.3623400017663143, 48.857108002526]",Point,2.3623400017663143,48.857108002526
2011,2011-11-17,2 rue du Commandant Guilbaud,2-6 rue du Commandant Guilbaud  / 20-26 av. de la Porte de Saint-Cloud,75016,['Aucune'],,Pas de résolution,XX,,stade Géo André,Roger Lardat,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/a1e037a0e6f2f4018f1e2c24629693e1.pdf,Disponible,Feature,"[2.2518685597450876, 48.83891798244274]",Point,2.2518685597450876,48.83891798244274
2008,2008-02-21,6 rue de la Petite Truanderie,6-8 rue de la Petite Truanderie,75001,['Protection Ville de Paris'],"La Commission du Vieux Paris, réunie le 21 février 2008 à l’Hôtel de Ville de Paris sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, s'est félicitée de l'évolution du projet d'aménagement des caves de l'immeuble sis au 6-8, rue de la Petite Truanderie (1er arr.); immeuble protégé au titre du PLU. Elle demande qu'un relevé architectural de ces caves voûtées du XVIIe siècle soit exécuté avant intervention et que les travaux soient menés avec la plus grande précaution, accompagnés par un homme de l'art.",Vœu,XVII,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/09/eb977aeebc517ec05d02b0f6ac764ca7.pdf,Disponible,Feature,"[2.34830495599802, 48.86280225644955]",Point,2.34830495599802,48.86280225644955
2006,2006-06-16,3 boulevard des Capucines,3 boulevard des Capucines   / 23 rue Louis le Grand,75002,['Aucune'],"La Commission du vieux Paris, réunie le 16 juin 2006 à la Mairie du 9e arrondissement sous la présidence de M. Jaques Bravo, maire du 9e arrondissement, a renouvelé son vœu en faveur d’une inscription sur la liste supplémentaire des protections Ville de Paris de l’ensemble bâti au 3 boulevard des Capucines et 23 rue Louis Le Grand (2e arr.), notamment les décors intérieurs du grand café réalisés en 1884 par l’architecte E. Soty pour M. Auchesnet.",Vœu,XIX,1884,,E. Soty,Protection,Décors,,https://cdn.paris.fr/paris/2020/02/26/3e9cc3ade86c6bfdb943b448217b039d.pdf,Disponible,Feature,"[2.3335569202128923, 48.87069380074758]",Point,2.3335569202128923,48.87069380074758
2016,2016-06-24,1 rue de la Charbonnière,,75018,['Aucune'],"La Commission du Vieux Paris, réunie le 24 juin 2016 à l’Hôtel de Ville de Paris, sous la présidence de M. Bernard Gaudillère, a examiné le projet de démolition d’un immeuble représentatif de l’urbanisation du quartier de la Goutte d’Or au XIXème siècle.La Commission s’oppose à la démolition de ce rare vestige du premier lotissement du quartier et fait observer de surcroît que la construction neuve prévue en remplacement de l’immeuble démoli s’intégrerait mal dans le paysage de la rue alors même que les immeubles neufs élevés à proximité ont réussi à en préserver le caractère ancien.",Vœu,XIX,,,Reboul,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/a36b80873faa206563cdfd8e98d4f785.pdf,Disponible,Feature,"[2.355508658952437, 48.884876819076666]",Point,2.355508658952437,48.884876819076666
2011,2011-07-08,16 rue d’Amsterdam,16-18 rue d’Amsterdam,75009,['Aucune'],,Pas de résolution,XIX,,,,Démolition partielle,Circulations intérieures,,https://cdn.paris.fr/paris/2020/02/26/d9c64eecef60f5686b7f1f691de38a43.pdf,Disponible,Feature,"[2.3269814938251736, 48.876477500461924]",Point,2.3269814938251736,48.876477500461924
2012,2012-06-15,17 rue de Richelieu,,75001,['Aucune'],"Résolution au 17, rue de Richelieu (1er arrondissement) La Commission du Vieux Paris, réunie le 15 juin 2012 à l’hôtel de Ville, sous la présidence de Mme Danièle Pourtaud, adjointe au Maire chargée du Patrimoine, a examiné le projet de démolition d’une maison du XVIIe siècle.Après avoir pris connaissance de la rareté de cette maison, subsistante d’un lotissement du milieu du XVIIe siècle et clairement identifiable sur une gravure d’Israel Silveste comprise dans un recueil publié en 1670, la Commission demande la restauration du corps sur rue.Elle accepte la démolition de l’aile en retour, à l’exception de l’escalier de l’aile gauche, et de la couverture de la cour (BMO du 17 juillet 2012).",Vœu,XVII,,,Nicolas Messier,Démolition totale,,,https://cdn.paris.fr/paris/2020/09/30/45df11b4e20f47af3b657b5c245dc878.pdf,Disponible,Feature,"[2.3360909668242007, 48.864371843983236]",Point,2.3360909668242007,48.864371843983236
2005,2005-11-24,17 avenue de Lamballe,,75016,['Aucune'],"Protestation contre les travaux de redistribution et l’implantation d’un ascenseur dans le jour de la cage d’escalier au 17, rue de Lamballe (16e arr.) effectués sans attendre la  délivrance des autorisations. La Commission du vieux Paris, réunie le 24 novembre 2005 à l’Hôtel de Ville, sous la présidence de Mme Moïra Guilmart, adjointe au maire chargée du patrimoine, a protesté contre les travaux de redistribution et implantation d’un ascenseur dans le vide de cage de l’immeuble au 17 rue de Lamballe, construit par Laffilié en 1928 et qui a constitué la résidence du Maréchal Joffre, travaux effectués sans attendre la délivrance des autorisations.",Vœu,XX,1928,,Laffilié,Démolition partielle,Circulations intérieures,,Bientôt disponible,Bientôt disponible,Feature,"[2.2801577844582908, 48.85441848671387]",Point,2.2801577844582908,48.85441848671387
